date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:57	467/467	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2006%20Sep%202021%2011:56:23%20GMT	https://b2c.kiwi/detail/733}	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/733}.41.delayed	(from https://b2c.kiwi/)
23:57:57	306/306	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2011:56:24%20GMT	https://b2c.kiwi/733	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/733.42.delayed	(from https://b2c.kiwi/)
23:57:58	59169/59169	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:24%20GMT	https://b2c.kiwi/detail/732	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/732.html	(from https://b2c.kiwi/)
23:57:59	107118/107118	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:24%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_14_11_55_51_1.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_14_11_55_51_18b66.jpg	(from https://b2c.kiwi/)
23:57:59	52392/52392	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:26%20GMT	https://b2c.kiwi/detail/730	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/730.html	(from https://b2c.kiwi/)
23:58:00	763727/763727	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:26%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_14_17_12_WeChat%20Image_20190110141649.png&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_14_17_12_WeChat%20Image_201901101416497717.png	(from https://b2c.kiwi/)
23:58:00	467/467	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2006%20Sep%202021%2011:56:26%20GMT	https://b2c.kiwi/detail/730}	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/730}.47.delayed	(from https://b2c.kiwi/)
23:58:00	306/306	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2011:56:27%20GMT	https://b2c.kiwi/730	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/730.48.delayed	(from https://b2c.kiwi/)
23:58:01	50551/50551	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:27%20GMT	https://b2c.kiwi/detail/729	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/729.html	(from https://b2c.kiwi/)
23:58:02	189587/189587	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:28%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_14_03_01_prod-size.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_14_03_01_prod-sizef3b7.jpg	(from https://b2c.kiwi/)
23:58:02	51400/51400	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:29%20GMT	https://b2c.kiwi/detail/728	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/728.html	(from https://b2c.kiwi/)
23:58:03	185935/185935	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:29%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_13_58_01_prod-main-temp.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_13_58_01_prod-main-tempb098.jpg	(from https://b2c.kiwi/)
23:58:03	467/467	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2006%20Sep%202021%2011:56:29%20GMT	https://b2c.kiwi/detail/728}	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/728}.4d.delayed	(from https://b2c.kiwi/)
23:58:03	306/306	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2011:56:30%20GMT	https://b2c.kiwi/728	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/728.4e.delayed	(from https://b2c.kiwi/)
23:58:04	53713/53713	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:30%20GMT	https://b2c.kiwi/detail/725	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/725.html	(from https://b2c.kiwi/)
23:58:05	533569/533569	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:30%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_13_43_59_prod-compose.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_13_43_59_prod-compose9e9d.jpg	(from https://b2c.kiwi/)
23:58:05	53766/53766	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:32%20GMT	https://b2c.kiwi/detail/724	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/724.html	(from https://b2c.kiwi/)
